id,taxpayer_number,taxpayer_name,taxpayer_address,taxpayer_city,taxpayer_state,taxpayer_zip,taxpayer_county,location_number,location_name,location_address,location_city,location_state,location_zip,location_county,tabc_permit_number,responsibility_begin_date,responsibility_end_date,obligation_end_date,liquor_receipts,wine_receipts,beer_receipts,cover_charge_receipts,total_receipts,latitude,longitude,geocoding_confidence,data_quality_score,is_active,last_updated,created_at,full_address,concept_primary,concept_secondary,concept_confidence,concept_source,population_1_mile,drinking_age_1_mile,population_3_mile,drinking_age_3_mile,population_5_mile,drinking_age_5_mile,population_10_mile,drinking_age_10_mile,square_footage,square_footage_source,square_footage_confidence
row-k3ws_9jzj~nnh3,17603653696,"JOE'S CRAB SHACK - TEXAS, INC.",9900 WESTPARK DR STE 300,HOUSTON,TX,77063,101,32,JOE'S CRAB SHACK,3040 WESTERN CENTER BLVD,FORT WORTH,TX,76131,220,RM718947,,,,0.0,0.0,0.0,0.0,49655.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"3040 WESTERN CENTER BLVD, FORT WORTH, TX 76131",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-yqu3.4mir_rjm7,17428968410,BLACKGOLD BAR PRIVATE CLUB,826 FM 1633,MEXIA,TX,76667,147,1,COYOTE RUN PRIVATE CLUB,307 MLK BLVD,MEXIA,TX,76667,147,N 444538,,,,0.0,0.0,0.0,0.0,20584.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"307 MLK BLVD, MEXIA, TX 76667",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-66g4_4fdf_tyrn,32055117603,FAJITA'S TAQUERIA INC,13030 WOODFOREST BLVD STE P,HOUSTON,TX,77015,101,1,FAJITA'S TAQUERIA INC,13030 WOODFOREST BLVD STE P,HOUSTON,TX,77015,101,MB903896,,,,0.0,0.0,0.0,0.0,1048.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"13030 WOODFOREST BLVD STE P, HOUSTON, TX 77015",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-bmm6-cnat~v8aq,12050919856,"J. FUENTES ARLINGTON, LP",5100 BELT LINE RD STE 852,DALLAS,TX,75254,57,1,GLORIAS RESTAURANT,3901 ARLINGTON HIGHLANDS BLVD STE 137,ARLINGTON,TX,76018,220,MB664783,,,,0.0,0.0,0.0,0.0,127281.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"3901 ARLINGTON HIGHLANDS BLVD STE 137, ARLINGTON, TX 76018",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-9sk6-2fzg-gemf,15623514518,"YAFA II, INC",4216 OAK LAWN AVE,DALLAS,TX,75219,57,1,AURORA,4216 OAK LAWN AVE,DALLAS,TX,75219,57,MB540563,,,,0.0,0.0,0.0,0.0,16782.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"4216 OAK LAWN AVE, DALLAS, TX 75219",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-e3yg.rxi5~gt2c,17425537812,"SUNOVA, INC.",15033 NACOGDOCHES RD STE 304,SAN ANTONIO,TX,78247,15,2,EASY STREET,15033 NACOGDOCHES RD,SAN ANTONIO,TX,78247,15,MB212631,,,,0.0,0.0,0.0,0.0,30907.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"15033 NACOGDOCHES RD, SAN ANTONIO, TX 78247",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-pvbt_8cd7.kn64,32050011793,RENE REYES AND MARIA REYES,1046 AMBROSDEN LN,CHANNELVIEW,TX,77530,101,1,REYES RECEPTION HALL,913 ASHLAND BLVD,CHANNELVIEW,TX,77530,101,MB847162,,,,0.0,0.0,0.0,0.0,580.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"913 ASHLAND BLVD, CHANNELVIEW, TX 77530",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-spem_389s.h9x2,17429131729,"SAN MARCOS TAVERN, INC.",804 CHESTNUT ST STE D,SAN MARCOS,TX,78666,105,1,THE TAVERN,804 CHESTNUT ST STE D,SAN MARCOS,TX,78666,105,MB402285,,,,0.0,0.0,0.0,0.0,54867.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"804 CHESTNUT ST STE D, SAN MARCOS, TX 78666",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-eptm-sheg_v5jn,13714470963,"CHICAGO PIZZA HOSPITALITY HOLDING, INC.",7755 CENTER AVE STE 300,HUNTINGTN BCH,CA,92647,0,20,BJ'S RESTAURANTS & BREWHOUSE,9401 SAGE MEADOW TRL,FORT WORTH,TX,76177,220,RM741634,,,,0.0,0.0,0.0,0.0,106917.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"9401 SAGE MEADOW TRL, FORT WORTH, TX 76177",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-csfa.bcjr~bqk4,17527797652,"SCBTS, INC.",1617 UNIVERSITY AVE STE A,LUBBOCK,TX,79401,152,1,SKOONERS,1617 UNIVERSITY AVE STE A,LUBBOCK,TX,79401,152,MB422585,,,,0.0,0.0,0.0,0.0,62814.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"1617 UNIVERSITY AVE STE A, LUBBOCK, TX 79401",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-gqh3_mg7u_3qhi,30118071197,RICHARD S FIASCHETTI & MICHELLE JANICE NEUMANN,3902 MAPLE AVE,DALLAS,TX,75219,57,1,THE GRAPEVINE,3902 MAPLE AVE,DALLAS,TX,75219,57,MB265785,,,,0.0,0.0,0.0,0.0,87895.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"3902 MAPLE AVE, DALLAS, TX 75219",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-z3t9~d33x~nuvm,17524066887,"BARTON CREEK RESORT & CLUBS, INC.",8212 BARTON CLUB DR,AUSTIN,TX,78735,227,1,BARTON CREEK COUNTRY CLUB,8212 BARTON CLUB DR,AUSTIN,TX,78735,227,MB555089,,,,0.0,0.0,0.0,0.0,243536.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"8212 BARTON CLUB DR, AUSTIN, TX 78735",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-8esj.63nu_mgrx,30005324410,BLANCO-SPRING BRANCH F O E 3932,PO BOX 1066,BLANCO,TX,78606,16,1,BLANCO SPRING BRANCH ORDER #3932,903 PECAN,BLANCO,TX,78606,16,NE130225,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"903 PECAN, BLANCO, TX 78606",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-qrtp.a2e5~iqfw,12736627832,EL CHILE PRIVATE CLUB,1319 PERIWINKLE DR,WYLIE,TX,75098,43,1,EL CHILE PRIVATE CLUB,1201 W MILLER RD,GARLAND,TX,75041,57,N 767461,,,,0.0,0.0,0.0,0.0,3042.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"1201 W MILLER RD, GARLAND, TX 75041",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
